,DOI,Publisher,prefix,publisher_name
0,10.1080/09589236.2016.1243043,Taylor & Francis,10.1080,Informa UK Limited
1,10.7560/IC55103,University of Texas Press,10.7560,University of Texas Press
2,10.1007/978-3-319-93824-0,Palgrave Macmillan,10.1007,Springer Science and Business Media LLC
3,10.1093/oxfordhb/9780190460242.013.33,Oxford University Press,10.1093,Oxford University Press (OUP)
4,10.4324/9781351243018,Routledge,10.4324,Informa UK Limited
5,10.1075/cilt.343.03ale,John Benjamins Publishing Company,10.1075,John Benjamins Publishing Company
6,10.1163/9789004385092_013,BRILL,10.1163,Brill
7,10.1017/9781316479865.004,Cambridge University Press,10.1017,Cambridge University Press (CUP)
8,10.4324/9781315554464,Routledge,10.4324,Informa UK Limited
9,10.16997/eslj.230,University of Westminster Press,10.16997,University of Westminster Press
10,10.4324/9781315161099,Routledge,10.4324,Informa UK Limited
11,10.1080/14780038.2016.1237410,Taylor & Francis for Social History Society,10.1080,Informa UK Limited
12,10.1353/mln.2020.0017,Routledge,10.1353,Project MUSE
13,10.16997/eslj.255,University of Westminster Press,10.16997,University of Westminster Press
14,10.1017/9781787443563.014,Camden House,10.1017,Cambridge University Press (CUP)
15,10.1057/978-1-137-54905-1_8,Palgrave,10.1057,Springer Science and Business Media LLC
16,10.1093/oso/9780198778172.003.0012,"Oxford University Press, USA",10.1093,Oxford University Press (OUP)
17,10.3983/twc.2020.1941,Transformative Works and Cultures,10.3983,Transformative Works and Cultures
18,10.11647/OBP.0076.03,Open Book Publishers,10.11647,Open Book Publishers
19,10.1075/target.29.2.01del,John Benjamins,10.1075,John Benjamins Publishing Company
20,10.1353/elh.2020.0004,Project Muse,10.1353,Project MUSE
21,10.1093/oxfordhb/9780199988747.013.17,Oxford University Press,10.1093,Oxford University Press (OUP)
22,10.5040/9781350016552.ch-003,Bloomsbury Publishing,10.5040,Bloomsbury Academic
23,10.4324/9781351174169,Routledge,10.4324,Informa UK Limited
24,10.1093/acprof:oso/9780198769774.003.0016,Oxford University Press,10.1093,Oxford University Press (OUP)
25,10.5040/9781501343520.0006,Bloomsbury Academic,10.5040,Bloomsbury Academic
26,10.1111/pops.12432,"Wiley-Blackwell Publishing, Inc.",10.1111,Wiley
27,10.4324/9781315647777,Routledge,10.4324,Informa UK Limited
28,10.4324/9780429423925,Routledge,10.4324,Informa UK Limited
29,10.1017/9781316424179,Cambridge University Press,10.1017,Cambridge University Press (CUP)
30,10.1093/oso/9780198794776.003.0008,Oxford University Press,10.1093,Oxford University Press (OUP)
31,10.15122/isbn.978-2-8124-3374-0.p.0469,Classiques Garnier,10.15122,Classiques Garnier
32,10.1007/978-3-319-33470-7_6,Palgrave Macmillan,10.1007,Springer Science and Business Media LLC
33,10.1093/oso/9780198804215.003.0017,Oxford University Press,10.1093,Oxford University Press (OUP)
